Rank,RankOpponent,eventResults,eventScore,sets,playerGames,opponentGames
1,94.0,W,6-2 6-0,2.0,12.0,2.0
1,55.0,W,5-7 6-1 6-0,3.0,17.0,8.0
1,57.0,W,6-2 6-3,2.0,12.0,5.0
1,42.0,W,7-6 6-2,2.0,13.0,8.0
1,8.0,L,2-6 4-6,2.0,6.0,12.0
1,57.0,W,6-2 6-4,2.0,12.0,6.0
1,34.0,W,6-3 6-4,2.0,12.0,7.0
1,28.0,W,6-2 6-1,2.0,12.0,3.0
1,50.0,W,6-2 6-4,2.0,12.0,6.0
1,16.0,W,6-3 6-1,2.0,12.0,4.0
1,9.0,W,6-1 6-7 6-4,3.0,18.0,12.0
1,31.0,U,5-4,1.0,5.0,4.0
1,43.0,W,6-3 6-2,2.0,12.0,5.0
1,27.0,W,6-2 6-4,2.0,12.0,6.0
1,48.0,W,6-1 6-1,2.0,12.0,2.0
1,6.0,W,6-2 6-3,2.0,12.0,5.0
1,3.0,W,6-2 7-5,2.0,13.0,7.0
1,2.0,W,7-6 6-2,2.0,13.0,8.0
2,52.0,W,6-3 7-5,2.0,13.0,8.0
2,40.0,L,4-6 4-6,2.0,8.0,12.0
2,12.0,L,2-6 4-6,2.0,6.0,12.0
2,98.0,W,6-7 6-3 6-0,3.0,18.0,10.0
2,17.0,W,3-6 6-2 6-2,3.0,15.0,10.0
2,490.0,U,6-2 4-2,2.0,10.0,4.0
2,19.0,W,1-6 7-6 7-5,3.0,15.0,17.0
2,8.0,W,6-2 6-2,2.0,12.0,4.0
2,1.0,L,6-7 2-6,2.0,8.0,13.0
3,41.0,L,3-6 6-7,2.0,9.0,13.0
3,46.0,W,4-6 6-2 6-3,3.0,16.0,11.0
3,37.0,W,6-3 6-4,2.0,12.0,7.0
3,25.0,W,6-4 6-2,2.0,12.0,6.0
3,17.0,L,4-6 5-7,2.0,9.0,13.0
3,39.0,W,6-2 7-6,2.0,13.0,8.0
3,82.0,W,6-1 6-4,2.0,12.0,5.0
3,26.0,W,4-6 7-6 6-3,3.0,17.0,15.0
3,23.0,W,6-2 6-3,2.0,12.0,5.0
3,1.0,L,2-6 5-7,2.0,7.0,13.0
4,895.0,W,6-1 6-3,2.0,12.0,4.0
4,32.0,W,6-2 6-1,2.0,12.0,3.0
4,10.0,L,1-6 2-6,2.0,3.0,12.0
4,100.0,W,6-0 6-2,2.0,12.0,2.0
4,47.0,W,6-3 6-4,2.0,12.0,7.0
4,83.0,U,6-1 2-0,2.0,8.0,1.0
4,44.0,W,6-3 6-0,2.0,12.0,3.0
4,21.0,W,6-3 6-4,2.0,12.0,7.0
4,728.0,W,4-6 6-1 6-3,3.0,16.0,10.0
4,42.0,W,6-4 6-3,2.0,12.0,7.0
4,23.0,L,6-7 6-3 3-6,3.0,15.0,16.0
4,53.0,W,6-7 7-5 6-2,3.0,19.0,14.0
4,38.0,W,6-1 6-4,2.0,12.0,5.0
4,5.0,L,5-7 7-6 1-6,3.0,13.0,19.0
4,59.0,W,6-4 7-6,2.0,13.0,10.0
4,29.0,L,4-6 6-2 6-7,3.0,16.0,15.0
4,19.0,L,6-4 1-6 0-6,3.0,7.0,16.0
5,441.0,W,6-4 6-0,2.0,12.0,4.0
5,34.0,W,6-0 3-6 6-3,3.0,15.0,9.0
