Rank,Player,Movement,Nation,DOB,Event,Points,Player ID,Last Name,First Name
1,"TSENG, Chun Hsin",0,TPE,08 Aug 2001,23,3690.00,100274778,TSENG, Chun Hsin
2,"BAEZ, Sebastian",0,ARG,28 Dec 2000,19,2341.25,100282506,BAEZ, Sebastian
3,"KORDA, Sebastian",0,USA,05 Jul 2000,8,1921.25,100291609,KORDA, Sebastian
4,"GASTON, Hugo",0,FRA,26 Sep 2000,20,1877.50,100197802,GASTON, Hugo
5,"MUSETTI, Lorenzo",0,ITA,03 Mar 2002,34,1668.75,100255913,MUSETTI, Lorenzo
6,"MEJIA, Nicolas",0,COL,11 Feb 2000,35,1643.75,100226751,MEJIA, Nicolas
7,"ANDREEV, Adrian",0,BUL,12 May 2001,30,1592.50,100204396,ANDREEV, Adrian
8,"SEYBOTH WILD, Thiago",0,BRA,10 Mar 2000,8,1551.25,100286164,SEYBOTH WILD, Thiago
9,"DRAPER, Jack",0,GBR,22 Dec 2001,20,1277.50,100227974,DRAPER, Jack
10,"NAKASHIMA, Brandon",0,USA,03 Aug 2001,19,1235.00,100281928,NAKASHIMA, Brandon
11,"SKATOV, Timofei",0,KAZ,21 Jan 2001,20,1203.75,100228382,SKATOV, Timofei
12,"SOARES KLIER JUNIOR, Gilbert",0,BRA,16 May 2000,26,1185.00,100286385,SOARES KLIER JUNIOR, Gilbert
13,"DIAZ ACOSTA, Facundo",0,ARG,15 Dec 2000,38,1166.25,100329088,DIAZ ACOSTA, Facundo
14,"BOYER, Tristan",0,USA,21 Apr 2001,35,1142.50,100233989,BOYER, Tristan
15,"JIANU, Filip Cristian",0,ROU,18 Sep 2001,44,1140.00,100230892,JIANU, Filip Cristian
16,"MU, Tao",0,CHN,28 Apr 2000,36,1127.50,100271084,MU, Tao
17,"TAJIMA, Naoki",0,JPN,21 Sep 2000,26,1110.00,100194526,TAJIMA, Naoki
18,"TABUR, Clement",0,FRA,24 Jan 2000,26,1102.50,100198334,TABUR, Clement
19,"HARDT, Nick",0,DOM,20 Sep 2000,30,1095.00,100268865,HARDT, Nick
20,"BAIRD, Drew",0,USA,31 Aug 2000,44,1048.75,100289396,BAIRD, Drew
21,"HIJIKATA, Rinky",0,AUS,23 Feb 2001,35,1025.00,100236257,HIJIKATA, Rinky
22,"EREL, Yanki",0,TUR,25 Sep 2000,36,1012.50,100226750,EREL, Yanki
