eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,32,W,"WADHWA, Dipin",IND,3-6 7-5 7-5,Raja Narsimha Rao memorial - ITF Juniors Hyderabad,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Hyderabad, India",27 Aug - 01 Sep 2018,Singles,Grade 4,Entry: DA,Hard,O,100285010,100278621
1.0,16,W,"PATEL, Krish",IND,7-6(7) 6-3,Raja Narsimha Rao memorial - ITF Juniors Hyderabad,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Hyderabad, India",27 Aug - 01 Sep 2018,Singles,Grade 4,Entry: DA,Hard,O,100278723,100278621
1.0,QF,W,"HANS, Kabir",IND,6-1 7-6(6),Raja Narsimha Rao memorial - ITF Juniors Hyderabad,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Hyderabad, India",27 Aug - 01 Sep 2018,Singles,Grade 4,Entry: DA,Hard,O,100334384,100278621
1.0,SF,W,"YADAV, Denim",IND,6-2 6-2,Raja Narsimha Rao memorial - ITF Juniors Hyderabad,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Hyderabad, India",27 Aug - 01 Sep 2018,Singles,Grade 4,Entry: DA,Hard,O,100306441,100278621
1.0,FR,L,"PATEL, Megh Bhargav",IND,3-6 2-6,Raja Narsimha Rao memorial - ITF Juniors Hyderabad,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Hyderabad, India",27 Aug - 01 Sep 2018,Singles,Grade 4,Entry: DA,Hard,O,100278724,100278621
2.0,32,W,"SINGH, Uddayvir",IND,6-4 6-7(5) 6-2,YMCA TTT- ITF Juniors,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Chennai, India",20 Aug - 25 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100329139,100278621
2.0,16,W,"BHATIA, Aryaan",IND,6-3 6-0,YMCA TTT- ITF Juniors,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Chennai, India",20 Aug - 25 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100348790,100278621
2.0,QF,W,"SENTHIL KUMAR, Deepak",IND,6-2 6-0,YMCA TTT- ITF Juniors,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Chennai, India",20 Aug - 25 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100281790,100278621
2.0,SF,L,"QAMAR, Fardeen",IND,6-4 2-6 1-6,YMCA TTT- ITF Juniors,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Chennai, India",20 Aug - 25 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100352934,100278621
3.0,32,W,"POUTIS, Stylianos",GRE,6-1 6-3,Amman International Tournament 2,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Amman, Jordan",23 Jul - 27 Jul 2018,Singles,Grade 5,Entry: DA,Hard,O,100304984,100278621
3.0,16,W,"STAMBOULI, Habib",TUN,3-6 7-5 6-4,Amman International Tournament 2,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Amman, Jordan",23 Jul - 27 Jul 2018,Singles,Grade 5,Entry: DA,Hard,O,100272797,100278621
3.0,QF,W,"AVRAAM, Christos",CYP,7-5 6-1,Amman International Tournament 2,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Amman, Jordan",23 Jul - 27 Jul 2018,Singles,Grade 5,Entry: DA,Hard,O,100261697,100278621
3.0,SF,W,"BAGADE, Prasanna Pravin",IND,6-2 7-6(4),Amman International Tournament 2,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Amman, Jordan",23 Jul - 27 Jul 2018,Singles,Grade 5,Entry: DA,Hard,O,100278575,100278621
3.0,FR,L,"SHELBAYH, Abedallah",JOR,3-6 4-6,Amman International Tournament 2,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Amman, Jordan",23 Jul - 27 Jul 2018,Singles,Grade 5,Entry: DA,Hard,O,100276536,100278621
4.0,32,W,"KHOUAJA, Selim",TUN,6-2 6-1,Amman International Tournament 1,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Amman, Jordan",16 Jul - 20 Jul 2018,Singles,Grade 5,Entry: DA,Hard,O,100367691,100278621
4.0,16,W,"OMORI COWIE, Haruki",GBR,6-3 6-3,Amman International Tournament 1,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Amman, Jordan",16 Jul - 20 Jul 2018,Singles,Grade 5,Entry: DA,Hard,O,100298629,100278621
4.0,QF,W,"MARIYAPPA, Arjun",USA,6-0 7-5,Amman International Tournament 1,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Amman, Jordan",16 Jul - 20 Jul 2018,Singles,Grade 5,Entry: DA,Hard,O,100266649,100278621
4.0,SF,W,"BRAHAM, Mohamed Anouar",TUN,6-3 6-3,Amman International Tournament 1,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Amman, Jordan",16 Jul - 20 Jul 2018,Singles,Grade 5,Entry: DA,Hard,O,100252873,100278621
4.0,FR,L,"SHELBAYH, Abedallah",JOR,2-6 5-7,Amman International Tournament 1,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Amman, Jordan",16 Jul - 20 Jul 2018,Singles,Grade 5,Entry: DA,Hard,O,100276536,100278621
5.0,64,L,"ADHITYA, Muhammad",INA,6-7(5) 6-2 [10-12],Thamrin International Junior Championships 2018,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Jakarta, Indonesia",03 Jul - 08 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100290351,100278621
6.0,64,W,"ANNAS, Owissa Makuta",INA,7-6(7) 6-3,AGS Junior Tennis Championships 2018,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Jakarta, Indonesia",26 Jun - 01 Jul 2018,Singles,Grade 4,Entry: WC,Hard,O,100299190,100278621
6.0,32,W,"BALCE III, Manuel",PHI,6-3 7-5,AGS Junior Tennis Championships 2018,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Jakarta, Indonesia",26 Jun - 01 Jul 2018,Singles,Grade 4,Entry: WC,Hard,O,100292886,100278621
6.0,16,L,"FAHRESI, Ari",INA,4-6 3-6,AGS Junior Tennis Championships 2018,"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Jakarta, Indonesia",26 Jun - 01 Jul 2018,Singles,Grade 4,Entry: WC,Hard,O,100328073,100278621
7.0,32,L,"JIRAPOOMDAJE, Pawin",THA,4-6 1-6,PTT - ITF Junior Grade 4 (week 1),"GANTA, Sai Karteek Reddy",IND,GANTA,Sai Karteek Reddy,"Nonthaburi, Thailand",18 Jun - 23 Jun 2018,Singles,Grade 4,Entry: DA,Hard,O,100279445,100278621
