Rank,Player,DOB,Player ID,goodWinSum,goodLossSum,badLossSum,totalMatches,totalWins,winPct,winScalar
1,"TSENG, Chun Hsin",08 Aug 2001,100274778,0.0,0.0,7.0,17.0,16.0,0.9411764705882353,0.0
2,"BAEZ, Sebastian",28 Dec 2000,100282506,0.0,0.0,48.0,8.0,5.0,0.625,0.0
3,"KORDA, Sebastian",05 Jul 2000,100291609,0.0,0.0,52.0,10.0,7.0,0.7,0.0
4,"GASTON, Hugo",26 Sep 2000,100197802,0.0,0.0,66.0,16.0,11.0,0.6875,0.0
5,"MUSETTI, Lorenzo",03 Mar 2002,100255913,1.0,0.0,154.0,22.0,17.0,0.7727272727272727,0.2
6,"MEJIA, Nicolas",11 Feb 2000,100226751,0.0,0.0,185.0,18.0,13.0,0.7222222222222222,0.0
7,"ANDREEV, Adrian",12 May 2001,100204396,0.0,0.0,50.0,14.0,10.0,0.7142857142857143,0.0
8,"SEYBOTH WILD, Thiago",10 Mar 2000,100286164,10.0,0.0,0.0,11.0,10.0,0.9090909090909091,1.25
9,"DRAPER, Jack",22 Dec 2001,100227974,13.0,8.0,38.0,12.0,9.0,0.75,1.8888888888888888
10,"NAKASHIMA, Brandon",03 Aug 2001,100281928,9.0,0.0,68.0,19.0,15.0,0.7894736842105263,0.9
11,"SKATOV, Timofei",21 Jan 2001,100228382,1.0,0.0,153.0,10.0,5.0,0.5,0.09090909090909091
12,"SOARES KLIER JUNIOR, Gilbert",16 May 2000,100286385,10.0,6.0,203.0,13.0,9.0,0.6923076923076923,1.0833333333333333
13,"DIAZ ACOSTA, Facundo",15 Dec 2000,100329088,0.0,0.0,611.0,17.0,9.0,0.5294117647058824,0.0
14,"BOYER, Tristan",21 Apr 2001,100233989,0.0,5.0,76.0,9.0,4.0,0.4444444444444444,0.17857142857142858
15,"JIANU, Filip Cristian",18 Sep 2001,100230892,0.0,0.0,692.0,13.0,7.0,0.5384615384615384,0.0
16,"MU, Tao",28 Apr 2000,100271084,5.0,4.0,207.0,23.0,15.0,0.6521739130434783,0.4375
17,"TAJIMA, Naoki",21 Sep 2000,100194526,14.0,15.0,127.0,14.0,8.0,0.5714285714285714,1.2647058823529411
18,"TABUR, Clement",24 Jan 2000,100198334,0.0,0.0,504.0,11.0,6.0,0.5454545454545454,0.0
19,"HARDT, Nick",20 Sep 2000,100268865,15.0,17.0,58.0,14.0,10.0,0.7142857142857143,1.236842105263158
20,"BAIRD, Drew",31 Aug 2000,100289396,0.0,0.0,1006.0,10.0,4.0,0.4,0.0
21,"HIJIKATA, Rinky",23 Feb 2001,100236257,,,,,,,
22,"EREL, Yanki",25 Sep 2000,100226750,,,,,,,
23,"LOPEZ MONTAGUD, Carlos",06 Jul 2000,100242012,,,,,,,
24,"HO, Ray",13 Feb 2000,100252540,,,,,,,
25,"MCHUGH, Aidan",09 Jul 2000,100235871,,,,,,,
26,"WASSERMANN, Deney",25 Mar 2001,100256175,,,,,,,
27,"ALVAREZ VARONA, Nicolas",18 May 2001,100227072,,,,,,,
28,"STYLER, Ondrej",01 Jun 2000,100229815,,,,,,,
29,"BOVY, Arnaud",17 Sep 2000,100206746,,,,,,,
30,"SVRCINA, Dalibor",02 Oct 2002,100262047,,,,,,,
31,"MATUSEVICH, Anton",30 May 2001,100210092,66.0,0.0,974.0,26.0,17.0,0.6538461538461539,2.129032258064516
32,"CERUNDOLO, Juan Manuel",15 Nov 2001,100288982,0.0,27.0,149.0,11.0,5.0,0.45454545454545453,0.421875
33,"LEHECKA, Jiri",08 Nov 2001,100239663,30.0,0.0,135.0,10.0,6.0,0.6,0.9090909090909091
34,"CAZAUX, Arthur",23 Aug 2002,100254266,12.0,29.0,0.0,6.0,1.0,0.16666666666666666,0.7794117647058824
35,"KINGSLEY, Cannon",06 May 2001,100295230,41.0,88.0,0.0,10.0,6.0,0.6,2.4285714285714284
36,"FOREJTEK, Jonas",10 Mar 2001,100210075,73.0,22.0,597.0,14.0,8.0,0.5714285714285714,2.3333333333333335
37,"WENGER, Damien",17 Mar 2000,100213266,55.0,0.0,70.0,11.0,7.0,0.6363636363636364,1.4864864864864864
38,"NAVA, Emilio",02 Dec 2001,100327421,32.0,8.0,103.0,11.0,6.0,0.5454545454545454,0.9473684210526315
39,"ROYER, Valentin",29 May 2001,100282321,0.0,0.0,63.0,23.0,18.0,0.782608695652174,0.0
40,"MICHALSKI, Daniel",11 Jan 2000,100212850,58.0,0.0,16.0,12.0,7.0,0.5833333333333334,1.45
41,"VIRTANEN, Otto",21 Jun 2001,100223021,48.0,0.0,1075.0,13.0,6.0,0.46153846153846156,1.170731707317073
42,"ZEPPIERI, Giulio",07 Dec 2001,100233987,115.0,6.0,11.0,27.0,20.0,0.7407407407407407,2.8095238095238093
43,"MAYOT, Harold",04 Feb 2002,100245284,42.0,0.0,0.0,7.0,2.0,0.2857142857142857,0.9767441860465116
44,"ICHIKAWA, Taisei",21 Dec 2000,100263724,82.0,45.0,101.0,17.0,12.0,0.7058823529411765,2.375
45,"FENTY, Andrew",08 Mar 2000,100265941,0.0,1.0,40.0,4.0,1.0,0.25,0.011111111111111112
46,"DE JONG, Jesper",31 May 2000,100235115,55.0,75.0,1130.0,13.0,6.0,0.46153846153846156,2.010869565217391
47,"TIRANTE, Thiago Agustin",10 Apr 2001,100269096,60.0,9.0,0.0,14.0,8.0,0.5714285714285714,1.372340425531915
48,"REIS DA SILVA, Joao Lucas",26 Mar 2000,100282724,18.0,32.0,0.0,9.0,5.0,0.5555555555555556,0.7083333333333334
49,"ONCLIN, Gauthier",26 Feb 2001,100226793,0.0,0.0,686.0,21.0,18.0,0.8571428571428571,0.0
50,"HILDERBRAND, Trey",15 May 2000,100266403,119.0,45.0,188.0,11.0,6.0,0.5454545454545454,2.83
51,"IVANOV, Simon Anthony",03 Jul 2000,100203943,0.0,31.0,454.0,23.0,18.0,0.782608695652174,0.30392156862745096
52,"TASHBULATOV, Dostanbek",27 Jun 2000,100236263,0.0,0.0,47.0,16.0,12.0,0.75,0.0
53,"DANILOV, Savriyan",03 Jun 2000,100221058,48.0,89.0,224.0,14.0,8.0,0.5714285714285714,1.7452830188679245
54,"ZINK, Tyler",30 Jan 2001,100295240,0.0,24.0,269.0,9.0,3.0,0.3333333333333333,0.2222222222222222
55,"HENNING, Philip",10 Nov 2000,100205129,28.0,136.0,3.0,12.0,8.0,0.6666666666666666,1.7454545454545454
56,"BROOKSBY, Jenson",26 Oct 2000,100291581,83.0,0.0,0.0,5.0,4.0,0.8,1.4821428571428572
57,"MAREK, Wojciech",27 May 2001,100232838,66.0,46.0,0.0,18.0,12.0,0.6666666666666666,1.5614035087719298
58,"ALVES, Mateus",23 Jan 2001,100297504,111.0,48.0,0.0,18.0,11.0,0.6111111111111112,2.3275862068965516
59,"NANDA, Govind",17 Feb 2001,100281618,107.0,167.0,0.0,12.0,8.0,0.6666666666666666,3.2288135593220337
60,"MILADINOVIC, Marko",07 Dec 2000,100224343,0.0,61.0,0.0,2.0,,,0.5083333333333333
61,"RODRIGUES, Natan",02 Feb 2002,100312706,0.0,0.0,356.0,22.0,17.0,0.7727272727272727,0.0
62,"LINGUA LAVALLEN, Alejo Lorenzo",09 Mar 2001,100309631,0.0,0.0,431.0,7.0,3.0,0.42857142857142855,0.0
63,"RUNE, Holger Vitus Nodskov",29 Apr 2003,100254993,12.0,0.0,119.0,13.0,10.0,0.7692307692307693,0.19047619047619047
64,"ZIMA, Leopold",13 May 2000,100199036,0.0,72.0,27.0,3.0,,,0.5625
65,"VON DER SCHULENBURG, Henry",23 Jan 2000,100231462,56.0,49.0,0.0,13.0,9.0,0.6923076923076923,1.2384615384615385
66,"STROM, Gustaf",22 Sep 2001,100226260,78.0,45.0,200.0,28.0,21.0,0.75,1.5227272727272727
67,"BINDA, Alexandr",22 Sep 2001,100237206,0.0,40.0,284.0,8.0,3.0,0.375,0.29850746268656714
68,"WESTSTRATE, Lodewijk",01 Jul 2001,100238092,0.0,0.0,1185.0,16.0,10.0,0.625,0.0
69,"YUNCHAOKETE, Bu",19 Jan 2002,100287473,25.0,0.0,1159.0,44.0,39.0,0.8863636363636364,0.36231884057971014
70,"PARK, Uisung",27 Sep 2000,100267649,65.0,0.0,0.0,2.0,1.0,0.5,0.9285714285714286
71,"HERMAN , Louis",03 May 2001,100234942,25.0,35.0,2553.0,21.0,13.0,0.6190476190476191,0.5985915492957746
72,"FEARNLEY, Jacob",15 Jul 2001,100248589,103.0,32.0,281.0,13.0,5.0,0.38461538461538464,1.6527777777777777
73,"FOMIN, Sergey",01 Feb 2001,100232794,93.0,141.0,63.0,26.0,18.0,0.6923076923076923,2.23972602739726
74,"KILANI, Yassir",10 Aug 2000,100268869,0.0,0.0,0.0,5.0,5.0,1.0,0.0
75,"NGUYEN, Phuong Van",27 Feb 2001,100276046,0.0,0.0,0.0,0.0,,,0.0
76,"MAYO, Keenan",26 May 2000,100221756,58.0,0.0,0.0,5.0,3.0,0.6,0.7631578947368421
77,"KALENDER, Admir",12 Jan 2001,100251476,5.0,43.0,468.0,12.0,5.0,0.4166666666666667,0.34415584415584416
78,"MAKK, Peter",20 Oct 2001,100237333,19.0,9.0,682.0,20.0,12.0,0.6,0.30128205128205127
